12.6601	9.7479	2.8272
11.0327	8.0071	2.9789
16.0594	12.252	3.7328
13.0989	10.1798	2.8505
4.7109	1.391	3.2973
21.6274	18.6194	2.8957
9.3051	6.1488	3.1135
12.1278	9.2899	2.7656
11.3015	8.1416	3.0993
18.6518	15.8799	2.6923
12.6057	8.352	4.2019
14.6461	11.7524	2.8323
8.3372	5.3404	2.9632
13.7678	11.011	2.6778
18.6641	15.6869	2.8983
13.7759	10.6255	3.0969
37.3662	34.447	2.745
11.3527	8.6649	2.6387
6.0593	3.143	2.8806
20.1883	16.927	3.1685
6.4286	2.7591	3.6273
9.6056	6.9364	2.6173
15.4052	11.5117	3.8245
13.1158	10.2903	2.763
7.4668	4.5214	2.9111
7.2137	4.4587	2.7148
34.9216	31.8213	2.9272
10.6177	6.6268	3.9458
15.7836	13.0613	2.6503
18.6142	15.872	2.6697
7.9695	5.0521	2.8633
13.4211	10.27	3.0805
6.1305	3.2326	2.8687
21.1312	18.1152	2.9272
18.4605	15.2009	3.0568
29.0651	24.7853	4.0035
6.7356	2.2341	4.4782
14.8937	12.0526	2.7691
18.7737	14.792	3.9007
28.4976	23.6218	4.751
8.3695	5.6174	2.7076
14.1457	10.8372	3.2338
12.8267	9.9704	2.7906
14.939	11.7002	3.1664
21.2169	17.1886	3.8615
14.7231	11.4768	3.1705
4.3715	1.6092	2.742
8.8112	5.6229	3.1444
17.9164	14.3479	3.497
8.454	4.8581	3.5632
23.7436	20.1224	3.5299
27.0865	23.9168	3.0635
5.4042	2.754	2.6236
17.5456	14.733	2.7426
8.606	5.5012	3.0612
18.506	13.4296	5.007
18.3205	15.1997	3.0444
14.5549	10.6922	3.8099
17.9905	14.7783	3.1391
10.803	8.1714	2.5802
17.5486	14.4263	3.0438
16.3979	12.897	3.4195
11.6323	9.0701	2.4998
7.6476	4.8898	2.7175
9.5166	6.9491	2.5155
7.5087	4.6548	2.8019
16.4121	12.2547	4.0883
11.2562	7.9194	3.2816
13.395	10.1375	3.193
11.0984	8.1456	2.8902
12.9125	9.7325	3.023
19.6674	16.3811	3.1862
12.3224	9.4154	2.8474
11.8045	8.8496	2.8951
8.6062	5.6946	2.8726
7.995	5.2153	2.7373
10.1389	6.7018	3.389
14.4413	11.084	3.297
11.1253	8.1771	2.8938
8.6275	5.9416	2.6387
14.2199	11.1896	2.9498
34.8022	31.324	3.3195
14.8634	11.6781	3.1202
15.8636	12.9582	2.7698
23.7759	20.6553	3.0245
9.8742	6.6626	3.1646
16.3204	13.581	2.6628
5.3285	2.2304	3.0727
6.0426	3.2446	2.7661
12.4859	9.4585	2.9695
8.4272	5.3711	3.0159
9.1444	4.1517	4.9607
12.2406	8.2531	3.9318
14.1242	10.4859	3.5014
11.8484	8.8436	2.9393
11.6211	8.7307	2.8355
7.7955	4.8021	2.9514
15.4105	12.598	2.7433
8.8274	4.244	4.5435
12.3565	8.1854	4.1183
12.5064	9.6119	2.8367
12.5986	9.0344	3.5061
18.0861	13.9566	4.0517
10.9032	8.0638	2.7829
7.5812	4.3241	3.2206
13.8377	10.3941	3.3776
17.0673	14.0207	2.9625
30.6587	27.2624	3.2593
36.5187	33.2538	3.1169
27.9567	24.875	2.9701
